id,label,uri,type,type_generic,predicate_type
282,50261300 - herbs (gs1 gpc),http://purl.obolibrary.org/obo/FOODON_03401377,food,food,
283,wine gum,http://purl.obolibrary.org/obo/FOODON_00003188,food,food,
284,pink minnow,http://purl.obolibrary.org/obo/FOODON_03413869,food,food,
285,Synsepalum dulcificum,http://purl.obolibrary.org/obo/NCBITaxon_3743,food,food,
286,cauliflower fungus,http://purl.obolibrary.org/obo/FOODON_03414184,food,food,
287,blue corn meal,http://purl.obolibrary.org/obo/FOODON_00002514,food,food,
288,gastropod,http://purl.obolibrary.org/obo/FOODON_03412111,food,food,
289,short plate,http://purl.obolibrary.org/obo/FOODON_03530028,food,food,
290,cow milk (low sodium),http://purl.obolibrary.org/obo/FOODON_03304380,food,food,
291,cream (raw),http://purl.obolibrary.org/obo/FOODON_03310908,food,food,
292,sand pea plant,http://purl.obolibrary.org/obo/FOODON_03414705,food,food,
293,soft wheat food product,http://purl.obolibrary.org/obo/FOODON_00002254,food,food,
294,pork product (cured),http://purl.obolibrary.org/obo/FOODON_03317316,food,food,
295,24400 - amberjack (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542440,food,food,
296,rose plant,http://purl.obolibrary.org/obo/FOODON_03411225,food,food,
297,mocha mix,http://purl.obolibrary.org/obo/FOODON_03304170,food,food,
298,pear tomato plant,http://purl.obolibrary.org/obo/FOODON_03411107,food,food,
299,apple bread,http://purl.obolibrary.org/obo/FOODON_03302348,food,food,
300,citrus and guarana beverage concentrate (artificially colored),http://purl.obolibrary.org/obo/FOODON_03303824,food,food,
301,04030 - pepper leaves (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540403,food,food,
302,29940 - mono- di-saccharides other than sucrose (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542994,food,food,
303,cheese (whipped),http://purl.obolibrary.org/obo/FOODON_03305272,food,food,
304,07780 - spirulina (platensis) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540778,food,food,
305,pineapple juice (strained),http://purl.obolibrary.org/obo/FOODON_03304861,food,food,
306,20740 - bovine other slaughtering products (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542074,food,food,
307,04220 - amaranth leaves (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540422,food,food,
308,08530 - parsley (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540853,food,food,
309,apple and carrot juice (food product),http://purl.obolibrary.org/obo/FOODON_03306165,food,food,
310,tree onion plant,http://purl.obolibrary.org/obo/FOODON_03413487,food,food,
311,corn (dried),http://purl.obolibrary.org/obo/FOODON_03310640,food,food,
312,39760 - rice; fish/seafood and vegetable based dishes (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543976,food,food,
313,hen egg (shell off; solids; dried; ground),http://purl.obolibrary.org/obo/FOODON_03301438,food,food,
